date_of_record,station_name,month_num,season,avg_temp,min_temp,max_temp,temp_range,wind_speed,air_pressure,barometric_depression,elevation,elevation_vulnerability,latitude,longitude,rainfall,rainfall_rolling_3d,rainfall_rolling_7d,rainfall_lag1,rainfall_delta_1d,doy_sin,doy_cos,month_sin,month_cos,flood_risk_score,inundation_depth_cm,risk_category
2015-07-01,Bombay / Colaba,7,Monsoon,29.8,27.5,32.8,5.3,10.1,1004.2,9.05,10,5.0,18.9,72.8167,6.1,6.1,6.1,0.0,6.1,0.0108,-0.9999,-0.5,-0.866,0.0502,0.0,SAFE
2015-07-02,Bombay / Colaba,7,Monsoon,29.9,27.6,32.7,5.1,10.1,1004.2,9.05,10,5.0,18.9,72.8167,0.0,6.1,6.1,6.1,-6.1,-0.0065,-1.0,-0.5,-0.866,0.0,0.0,SAFE
2015-07-03,Bombay / Colaba,7,Monsoon,30.1,27.8,33.0,5.2,10.1,1004.2,9.05,10,5.0,18.9,72.8167,0.0,6.1,6.1,0.0,0.0,-0.0237,-0.9997,-0.5,-0.866,0.1824,3.1,SAFE
2015-07-04,Bombay / Colaba,7,Monsoon,30.0,28.0,32.7,4.7,10.1,1004.2,9.05,10,5.0,18.9,72.8167,0.0,0.0,6.1,0.0,0.0,-0.0408,-0.9992,-0.5,-0.866,0.0,0.0,SAFE
2015-07-05,Bombay / Colaba,7,Monsoon,29.9,27.6,32.6,5.0,10.1,1004.2,9.05,10,5.0,18.9,72.8167,0.0,0.0,6.1,0.0,0.0,-0.058,-0.9983,-0.5,-0.866,0.0,0.0,SAFE
2015-07-06,Bombay / Colaba,7,Monsoon,29.8,28.0,32.3,4.3,10.1,1004.2,9.05,10,5.0,18.9,72.8167,0.0,0.0,6.1,0.0,0.0,-0.0752,-0.9972,-0.5,-0.866,0.0,0.0,SAFE
2015-07-07,Bombay / Colaba,7,Monsoon,29.8,28.2,32.7,4.5,10.1,1004.2,9.05,10,5.0,18.9,72.8167,0.0,0.0,6.1,0.0,0.0,-0.0923,-0.9957,-0.5,-0.866,0.0,0.0,SAFE
2015-07-08,Bombay / Colaba,7,Monsoon,29.9,26.2,29.7,3.5,10.1,1004.2,9.05,10,5.0,18.9,72.8167,4.1,4.1,4.1,0.0,4.1,-0.1094,-0.994,-0.5,-0.866,0.1274,8.1,SAFE
2015-07-09,Bombay / Colaba,7,Monsoon,30.1,27.8,32.9,5.1,10.1,1004.2,9.05,10,5.0,18.9,72.8167,0.3,4.4,4.4,4.1,-3.8,-0.1265,-0.992,-0.5,-0.866,0.0,0.0,SAFE
2015-07-10,Bombay / Colaba,7,Monsoon,29.9,28.2,32.3,4.1,10.1,1004.2,9.05,10,5.0,18.9,72.8167,0.5,4.9,4.9,0.3,0.2,-0.1436,-0.9896,-0.5,-0.866,0.0,0.0,SAFE
2015-07-11,Bombay / Colaba,7,Monsoon,29.5,26.6,32.2,5.6,10.1,1004.2,9.05,10,5.0,18.9,72.8167,2.0,2.8,6.9,0.5,1.5,-0.1606,-0.987,-0.5,-0.866,0.0,0.0,SAFE
2015-07-12,Bombay / Colaba,7,Monsoon,29.8,26.2,32.6,6.4,10.1,1004.2,9.05,10,5.0,18.9,72.8167,6.1,8.6,13.0,2.0,4.1,-0.1775,-0.9841,-0.5,-0.866,0.0392,1.3,SAFE
2015-07-13,Bombay / Colaba,7,Monsoon,29.9,28.0,32.6,4.6,10.1,1004.2,9.05,10,5.0,18.9,72.8167,0.0,8.1,13.0,6.1,-6.1,-0.1944,-0.9809,-0.5,-0.866,0.3225,0.0,LOW
