date_of_record,month,season,station_name,state,district,avg_temp,min_temp,max_temp,wind_speed,air_pressure,elevation,latitude,longitude,rainfall
2015-07-01 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.8,27.5,32.8,,,4,19.1167,72.8333,6.1
2015-07-02 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.9,27.6,32.7,,,4,19.1167,72.8333,0
2015-07-03 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,30.1,27.8,33,,,4,19.1167,72.8333,
2015-07-04 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,30,28,32.7,,,4,19.1167,72.8333,
2015-07-05 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.9,27.6,32.6,,,4,19.1167,72.8333,
2015-07-06 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.8,28,32.3,,,4,19.1167,72.8333,
2015-07-07 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.8,28.2,32.7,,,4,19.1167,72.8333,
2015-07-08 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.9,26.2,,,,4,19.1167,72.8333,4.1
2015-07-09 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,30.1,27.8,32.9,,,4,19.1167,72.8333,0.3
2015-07-10 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.9,28.2,32.3,,,4,19.1167,72.8333,0.5
2015-07-11 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.5,26.6,32.2,,,4,19.1167,72.8333,2
2015-07-12 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.8,26.2,32.6,,,4,19.1167,72.8333,6.1
2015-07-13 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.9,28,32.6,,,4,19.1167,72.8333,0
2015-07-14 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,30,26.4,32.8,,,4,19.1167,72.8333,2
2015-07-15 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,30.1,27.6,33,,,4,19.1167,72.8333,1
2015-07-16 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.8,27.8,32.3,,,4,19.1167,72.8333,0
2015-07-17 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.6,26.2,31.5,,,4,19.1167,72.8333,5.1
2015-07-18 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.6,26.2,32,,,4,19.1167,72.8333,3
2015-07-19 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.6,26.2,,,,4,19.1167,72.8333,5.1
2015-07-20 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29,,31.6,,,4,19.1167,72.8333,0.5
2015-07-21 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,27.9,24.2,,,,4,19.1167,72.8333,61
2015-07-22 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,27.1,24.5,29,,,4,19.1167,72.8333,49
2015-07-23 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,27.4,24.4,30,,,4,19.1167,72.8333,46
2015-07-24 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,28.1,24.7,30.3,,,4,19.1167,72.8333,37.1
2015-07-25 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,28.7,25,30.7,,,4,19.1167,72.8333,29
2015-07-26 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,28.6,25.2,31.2,,,4,19.1167,72.8333,8.9
2015-07-27 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,27.8,,,,,4,19.1167,72.8333,7.9
2015-07-28 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,28,25.4,29.6,,,4,19.1167,72.8333,27.9
2015-07-29 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,27.7,24.4,29.5,,,4,19.1167,72.8333,32
2015-07-30 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,27.8,23.6,31.2,,,4,19.1167,72.8333,17
2015-07-31 00:00:00,July,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,28.9,25,31.5,,,4,19.1167,72.8333,8.9
2015-08-01 00:00:00,August,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.1,26.2,31.5,,,4,19.1167,72.8333,2
2015-08-02 00:00:00,August,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,29.1,26.6,31.9,,,4,19.1167,72.8333,2
2015-08-03 00:00:00,August,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,28.9,26.6,,,,4,19.1167,72.8333,0.5
2015-08-04 00:00:00,August,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,28.8,26.8,30.6,,,4,19.1167,72.8333,0
2015-08-05 00:00:00,August,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,28.1,26,29.3,,,4,19.1167,72.8333,2
2015-08-06 00:00:00,August,Monsoon,Bombay / Juhu,MH,Mumbai Suburban,28.4,23.2,30.8,,,4,19.1167,72.8333,22.1
